"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
"1",2021,"Alavés","La Liga","Fernando Pacheco","ESP","GK","28",1992,38,37,3349,37.2,57,1.53,141,84,61.7,9,11,17,9,24.3,3,3,0,0,0,"https://fbref.com/en/players/97852360/Fernando-Pacheco"
"2",2021,"Alavés","La Liga","Antonio Sivera","ESP","GK","23",1996,1,1,71,0.8,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/9970da54/Antonio-Sivera"
"3",2021,"Angers","Ligue 1","Paul Bernardoni","FRA","GK","23",1997,38,38,3420,38,58,1.53,139,82,63.3,12,8,18,9,23.7,8,7,1,0,12.5,"https://fbref.com/en/players/28dabd43/Paul-Bernardoni"
"4",2021,"Arminia","Bundesliga","Stefan Ortega","GER","GK","27",1992,34,34,3060,34,52,1.53,170,118,72.4,9,8,17,11,32.4,6,5,1,0,16.7,"https://fbref.com/en/players/c1242d4e/Stefan-Ortega"
"5",2021,"Arsenal","Premier League","Rúnar Alex Rúnarsson","ISL","GK","25",1995,1,0,16,0.2,0,0,2,2,100,0,0,0,0,NA,0,0,0,0,NA,"https://fbref.com/en/players/8fa8f8d2/Runar-Alex-Runarsson"
"6",2021,"Arsenal","Premier League","Bernd Leno","GER","GK","28",1992,35,35,3131,34.8,37,1.06,117,83,69.2,17,6,12,11,31.4,2,1,1,0,50,"https://fbref.com/en/players/2628fd2b/Bernd-Leno"
"7",2021,"Arsenal","Premier League","Mathew Ryan","AUS","GK","28",1992,3,3,270,3,2,0.67,10,8,90,1,1,1,1,33.3,1,1,0,0,0,"https://fbref.com/en/players/4535e4bb/Mathew-Ryan"
"8",2021,"Aston Villa","Premier League","Emiliano Martínez","ARG","GK","27",1992,38,38,3420,38,46,1.21,186,133,78,16,7,15,15,39.5,6,5,1,0,16.7,"https://fbref.com/en/players/7956236f/Emiliano-Martinez"
"9",2021,"Atalanta","Serie A","Pierluigi Gollini","ITA","GK","25",1995,25,25,2156,24,26,1.09,65,38,66.2,14,8,3,9,36,6,4,2,0,33.3,"https://fbref.com/en/players/f0f7f62f/Pierluigi-Gollini"
"10",2021,"Atalanta","Serie A","Marco Sportiello","ITA","GK","28",1992,15,13,1261,14,21,1.5,47,25,57.4,9,1,3,2,15.4,2,1,1,0,50,"https://fbref.com/en/players/ac4003af/Marco-Sportiello"
"11",2021,"Athletic Club","La Liga","Jokin Ezkieta","ESP","GK","23",1996,1,1,90,1,2,2,3,1,33.3,0,0,1,0,0,0,0,0,0,NA,"https://fbref.com/en/players/0f7dbaf6/Jokin-Ezkieta"
"12",2021,"Athletic Club","La Liga","Unai Simón","ESP","GK","23",1997,37,37,3330,37,40,1.08,108,68,67.6,11,13,13,9,24.3,6,5,1,0,16.7,"https://fbref.com/en/players/5dcf3e90/Unai-Simon"
"13",2021,"Atlético Madrid","La Liga","Jan Oblak","SVN","GK","27",1993,38,38,3420,38,25,0.66,122,98,80.3,26,8,4,18,47.4,4,1,2,1,66.7,"https://fbref.com/en/players/ee8508c0/Jan-Oblak"
"14",2021,"Augsburg","Bundesliga","Rafał Gikiewicz","POL","GK","32",1987,34,34,3060,34,54,1.59,178,126,73,10,6,18,7,20.6,9,6,1,2,14.3,"https://fbref.com/en/players/17376543/Rafal-Gikiewicz"
"15",2021,"Barcelona","La Liga","Neto","BRA","GK","31",1989,7,7,630,7,6,0.86,24,18,83.3,3,2,2,3,42.9,2,2,0,0,0,"https://fbref.com/en/players/a9dc785c/Neto"
"16",2021,"Barcelona","La Liga","Marc-André ter Stegen","GER","GK","28",1992,31,31,2790,31,32,1.03,106,76,72.6,21,5,5,11,35.5,3,3,0,0,0,"https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen"
"17",2021,"Bayern Munich","Bundesliga","Manuel Neuer","GER","GK","34",1986,33,33,2970,33,42,1.27,123,80,66.7,24,5,4,9,27.3,3,1,1,1,50,"https://fbref.com/en/players/8778c910/Manuel-Neuer"
"18",2021,"Bayern Munich","Bundesliga","Alexander Nübel","GER","GK","23",1996,1,1,90,1,2,2,4,2,50,0,1,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/afb0c500/Alexander-Nubel"
"19",2021,"Benevento","Serie A","Niccolò Manfredini","ITA","GK","32",1988,1,1,90,1,1,1,5,4,80,0,1,0,0,0,0,0,0,0,NA,"https://fbref.com/en/players/e4b39692/Niccolo-Manfredini"
