"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Url"
"1",2021,"Alavés","La Liga","Martin Agirregabiria","ESP","DF,MF","24",1996,17.3,888,41,314,418,164,9,888,6,2,33.3,4,66.7,380,1426,691,11,11,2,14,4,424,36,"https://fbref.com/en/players/355c883a/Martin-Agirregabiria"
"2",2021,"Alavés","La Liga","Rodrigo Battaglia","ARG","MF","29",1991,27.7,1253,84,366,770,129,20,1253,25,18,72,7,28,717,3705,1663,22,13,0,18,15,765,14,"https://fbref.com/en/players/d637fc22/Rodrigo-Battaglia"
"3",2021,"Alavés","La Liga","Burgui","ESP","MF","26",1993,0.2,11,0,2,5,4,0,11,0,0,NA,0,NA,8,49,33,1,3,0,0,0,8,2,"https://fbref.com/en/players/45e304c8/Burgui"
"4",2021,"Alavés","La Liga","Iñigo Córdoba","ESP","MF","23",1997,2.4,108,2,24,45,43,3,108,4,4,100,0,0,53,210,92,2,3,1,8,4,63,15,"https://fbref.com/en/players/49ea92be/Inigo-Cordoba"
"5",2021,"Alavés","La Liga","Deyverson","BRA","FW","29",1991,9.7,434,13,52,200,187,29,434,18,9,50,9,50,195,727,246,5,7,1,32,11,290,48,"https://fbref.com/en/players/2e5e846d/Deyverson"
"6",2021,"Alavés","La Liga","Rubén Duarte","ESP","DF","24",1995,28.3,1662,93,542,764,359,12,1662,13,5,38.5,8,61.5,659,2703,1383,27,21,0,16,9,762,54,"https://fbref.com/en/players/1fe0492d/Ruben-Duarte"
"7",2021,"Alavés","La Liga","Rodrigo Ely","BRA","DF","26",1993,5.2,210,32,128,72,11,8,210,1,1,100,0,0,89,290,94,1,1,0,3,0,99,0,"https://fbref.com/en/players/fd47b4f2/Rodrigo-Ely"
"8",2021,"Alavés","La Liga","Manu García","ESP","MF","34",1986,12.5,529,26,122,346,66,14,529,6,4,66.7,2,33.3,239,1029,386,4,6,0,10,8,310,27,"https://fbref.com/en/players/05a4465d/Manu-Garcia"
"9",2021,"Alavés","La Liga","Sergi García","ESP","MF","21",1999,0.2,9,0,0,5,4,0,9,0,0,NA,0,NA,4,38,23,1,0,0,1,0,4,1,"https://fbref.com/en/players/a039d52e/Sergi-Garcia"
"10",2021,"Alavés","La Liga","John Guidetti","SWE","FW","28",1992,2.3,86,2,5,45,36,9,86,0,0,NA,0,NA,45,147,50,1,1,0,5,2,68,9,"https://fbref.com/en/players/99bebd12/John-Guidetti"
"11",2021,"Alavés","La Liga","Joselu","ESP","FW","30",1990,33.6,1450,61,163,736,558,134,1446,55,28,50.9,27,49.1,691,2182,702,25,16,11,87,36,1121,137,"https://fbref.com/en/players/6265208f/Joselu"
"12",2021,"Alavés","La Liga","Jota","ESP","MF","29",1991,15.5,636,14,107,340,204,12,636,36,17,47.2,19,52.8,396,2292,1135,28,35,2,29,14,401,39,"https://fbref.com/en/players/9f351459/Jota"
"13",2021,"Alavés","La Liga","Stephane Keller","CMR","DF","18",2001,0.2,15,0,7,7,1,0,15,1,0,0,1,100,11,48,21,0,0,0,0,0,9,0,"https://fbref.com/en/players/89d1e9fa/Stephane-Keller"
"14",2021,"Alavés","La Liga","Víctor Laguardia","ESP","DF","30",1989,29.2,1319,178,775,518,32,17,1319,0,0,NA,0,NA,644,2766,1679,10,4,0,6,1,710,3,"https://fbref.com/en/players/b7c99b9b/Victor-Laguardia"
"15",2021,"Alavés","La Liga","Florian Lejeune","FRA","DF","29",1991,33.5,1820,274,1071,685,75,34,1820,13,10,76.9,3,23.1,923,4019,1832,5,11,2,13,2,1000,5,"https://fbref.com/en/players/6eaed4eb/Florian-Lejeune"
"16",2021,"Alavés","La Liga","Javi López","ESP","DF,MF","18",2002,2.8,173,3,43,91,41,4,173,8,4,50,4,50,91,481,202,6,4,2,5,5,89,8,"https://fbref.com/en/players/e9ada8cf/Javi-Lopez"
