"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Url"
"1",2021,"Alavés","La Liga","team",30,38,499,292,263,181,55,197,565,34.9,368,341,90,251,428,927,766,8,"https://fbref.com/en/squads/8d6fd021/2020-2021/Alaves-Stats"
"2",2021,"Alavés","La Liga","opponent",30,38,469,278,197,215,57,213,468,45.5,255,309,89,220,342,811,623,13,"https://fbref.com/en/squads/8d6fd021/2020-2021/Alaves-Stats"
"3",2021,"Angers","Ligue 1","team",31,38,626,376,302,256,68,314,754,41.6,440,330,78,252,443,1069,654,1,"https://fbref.com/en/squads/69236f98/2020-2021/Angers-Stats"
"4",2021,"Angers","Ligue 1","opponent",31,38,752,432,379,307,66,358,744,48.1,386,406,100,306,464,1216,625,11,"https://fbref.com/en/squads/69236f98/2020-2021/Angers-Stats"
"5",2021,"Arminia","Bundesliga","team",26,34,552,328,268,229,55,214,536,39.9,322,393,122,271,418,970,739,9,"https://fbref.com/en/squads/247c4b67/2020-2021/Arminia-Stats"
"6",2021,"Arminia","Bundesliga","opponent",26,34,464,279,210,206,48,202,435,46.4,233,341,90,251,346,810,652,6,"https://fbref.com/en/squads/247c4b67/2020-2021/Arminia-Stats"
"7",2021,"Arsenal","Premier League","team",29,38,456,252,206,184,66,212,547,38.8,335,368,113,255,351,807,643,16,"https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats"
"8",2021,"Arsenal","Premier League","opponent",29,38,499,285,246,192,61,239,535,44.7,296,391,129,262,369,868,752,16,"https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats"
"9",2021,"Aston Villa","Premier League","team",24,38,530,282,262,202,66,250,571,43.8,321,438,159,279,387,917,783,17,"https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats"
"10",2021,"Aston Villa","Premier League","opponent",24,38,563,322,309,189,65,226,595,38,369,377,145,232,355,918,804,18,"https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats"
"11",2021,"Atalanta","Serie A","team",30,38,606,343,252,256,98,265,591,44.8,326,421,92,329,516,1122,484,11,"https://fbref.com/en/squads/922493f3/2020-2021/Atalanta-Stats"
"12",2021,"Atalanta","Serie A","opponent",30,38,716,407,418,243,55,310,706,43.9,396,494,151,343,528,1244,717,15,"https://fbref.com/en/squads/922493f3/2020-2021/Atalanta-Stats"
"13",2021,"Athletic Club","La Liga","team",27,38,461,269,194,200,67,167,515,32.4,348,341,74,267,344,805,684,9,"https://fbref.com/en/squads/2b390eca/2020-2021/Athletic-Club-Stats"
"14",2021,"Athletic Club","La Liga","opponent",27,38,532,303,265,226,41,197,501,39.3,304,396,94,302,484,1016,772,6,"https://fbref.com/en/squads/2b390eca/2020-2021/Athletic-Club-Stats"
"15",2021,"Atlético Madrid","La Liga","team",25,38,622,367,291,253,78,296,631,46.9,335,361,83,278,386,1008,671,7,"https://fbref.com/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats"
"16",2021,"Atlético Madrid","La Liga","opponent",25,38,556,315,308,185,63,214,588,36.4,374,359,88,271,454,1010,674,9,"https://fbref.com/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats"
"17",2021,"Augsburg","Bundesliga","team",25,34,509,308,251,211,47,201,503,40,302,395,116,279,454,963,852,8,"https://fbref.com/en/squads/0cdc4311/2020-2021/Augsburg-Stats"
"18",2021,"Augsburg","Bundesliga","opponent",25,34,513,317,210,229,74,192,474,40.5,282,390,90,300,372,885,530,7,"https://fbref.com/en/squads/0cdc4311/2020-2021/Augsburg-Stats"
"19",2021,"Barcelona","La Liga","team",25,38,499,293,223,195,81,224,522,42.9,298,325,70,255,361,860,429,16,"https://fbref.com/en/squads/206d90db/2020-2021/Barcelona-Stats"
"20",2021,"Barcelona","La Liga","opponent",25,38,598,320,357,181,60,257,770,33.4,513,440,133,307,517,1115,639,8,"https://fbref.com/en/squads/206d90db/2020-2021/Barcelona-Stats"
