"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","CrdY","CrdR","2CrdY","Fls","Fld","Off","Crs","Int","TklW","PKwon","PKcon","OG","Recov","Won_Aerial","Lost_Aerial","Won_percent_Aerial","Url"
"1",2021,"Alavés","La Liga","team",30,38,96,8,5,513,487,73,645,428,292,5,3,0,1737,831,602,58,"https://fbref.com/en/squads/8d6fd021/2020-2021/Alaves-Stats"
"2",2021,"Alavés","La Liga","opponent",30,38,80,3,1,514,477,107,731,342,278,3,8,1,1922,602,831,42,"https://fbref.com/en/squads/8d6fd021/2020-2021/Alaves-Stats"
"3",2021,"Angers","Ligue 1","team",31,38,65,2,1,461,483,39,662,443,376,6,8,1,2074,477,562,45.9,"https://fbref.com/en/squads/69236f98/2020-2021/Angers-Stats"
"4",2021,"Angers","Ligue 1","opponent",31,38,73,3,1,508,423,69,652,464,432,5,6,0,2197,562,477,54.1,"https://fbref.com/en/squads/69236f98/2020-2021/Angers-Stats"
"5",2021,"Arminia","Bundesliga","team",26,34,52,1,0,390,417,49,471,418,328,2,6,1,1725,740,711,51,"https://fbref.com/en/squads/247c4b67/2020-2021/Arminia-Stats"
"6",2021,"Arminia","Bundesliga","opponent",26,34,63,2,1,437,372,76,713,346,279,5,2,3,1883,711,740,49,"https://fbref.com/en/squads/247c4b67/2020-2021/Arminia-Stats"
"7",2021,"Arsenal","Premier League","team",29,38,49,5,1,346,400,61,751,351,252,5,3,4,1838,504,594,45.9,"https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats"
"8",2021,"Arsenal","Premier League","opponent",29,38,74,2,1,421,335,53,652,369,285,3,6,2,1822,594,504,54.1,"https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats"
"9",2021,"Aston Villa","Premier League","team",24,38,71,4,4,439,553,71,779,387,282,6,6,1,1906,728,665,52.3,"https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats"
"10",2021,"Aston Villa","Premier League","opponent",24,38,73,7,2,568,419,47,784,355,322,5,6,3,1962,665,728,47.7,"https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats"
"11",2021,"Atalanta","Serie A","team",30,38,67,3,1,580,473,56,657,516,343,5,8,1,2472,633,506,55.6,"https://fbref.com/en/squads/922493f3/2020-2021/Atalanta-Stats"
"12",2021,"Atalanta","Serie A","opponent",30,38,87,4,3,504,548,40,460,528,407,5,7,0,2251,506,633,44.4,"https://fbref.com/en/squads/922493f3/2020-2021/Atalanta-Stats"
"13",2021,"Athletic Club","La Liga","team",27,38,82,3,1,483,477,77,811,344,269,5,6,1,1836,656,601,52.2,"https://fbref.com/en/squads/2b390eca/2020-2021/Athletic-Club-Stats"
"14",2021,"Athletic Club","La Liga","opponent",27,38,80,5,4,503,452,83,753,484,303,5,5,3,1861,601,656,47.8,"https://fbref.com/en/squads/2b390eca/2020-2021/Athletic-Club-Stats"
"15",2021,"Atlético Madrid","La Liga","team",25,38,100,0,0,489,443,96,597,386,367,6,4,3,1951,530,482,52.4,"https://fbref.com/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats"
"16",2021,"Atlético Madrid","La Liga","opponent",25,38,59,3,0,486,455,30,708,454,315,3,7,2,1939,482,530,47.6,"https://fbref.com/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats"
"17",2021,"Augsburg","Bundesliga","team",25,34,71,4,3,395,403,67,500,454,308,3,9,3,1802,559,688,44.8,"https://fbref.com/en/squads/0cdc4311/2020-2021/Augsburg-Stats"
"18",2021,"Augsburg","Bundesliga","opponent",25,34,54,1,1,425,363,93,846,372,317,7,5,1,1918,688,559,55.2,"https://fbref.com/en/squads/0cdc4311/2020-2021/Augsburg-Stats"
"19",2021,"Barcelona","La Liga","team",25,38,72,2,2,357,523,90,494,361,293,6,5,2,1937,395,317,55.5,"https://fbref.com/en/squads/206d90db/2020-2021/Barcelona-Stats"
"20",2021,"Barcelona","La Liga","opponent",25,38,76,6,2,546,333,48,514,517,320,5,8,5,1846,317,395,44.5,"https://fbref.com/en/squads/206d90db/2020-2021/Barcelona-Stats"
"21",2021,"Bayern Munich","Bundesliga","team",29,34,44,3,0,317,374,74,828,399,316,7,3,0,2050,430,409,51.3,"https://fbref.com/en/squads/054efa67/2020-2021/Bayern-Munich-Stats"
"22",2021,"Bayern Munich","Bundesliga","opponent",29,34,50,0,0,397,303,103,451,456,328,2,10,1,1919,409,430,48.7,"https://fbref.com/en/squads/054efa67/2020-2021/Bayern-Munich-Stats"
"23",2021,"Benevento","Serie A","team",29,38,95,5,2,496,593,61,645,383,288,7,5,6,1749,496,615,44.6,"https://fbref.com/en/squads/4fcb34fd/2020-2021/Benevento-Stats"
"24",2021,"Benevento","Serie A","opponent",29,38,76,6,1,621,463,94,808,384,267,4,7,0,1854,615,496,55.4,"https://fbref.com/en/squads/4fcb34fd/2020-2021/Benevento-Stats"
"25",2021,"Betis","La Liga","team",25,38,93,8,4,521,483,65,586,452,314,9,10,3,1938,613,628,49.4,"https://fbref.com/en/squads/fc536746/2020-2021/Real-Betis-Stats"
"26",2021,"Betis","La Liga","opponent",25,38,83,2,0,507,492,125,654,364,336,6,11,0,1936,628,613,50.6,"https://fbref.com/en/squads/fc536746/2020-2021/Real-Betis-Stats"
"27",2021,"Bologna","Serie A","team",37,38,82,4,2,536,476,73,669,424,313,3,9,2,2016,564,594,48.7,"https://fbref.com/en/squads/1d8099f8/2020-2021/Bologna-Stats"
"28",2021,"Bologna","Serie A","opponent",37,38,84,1,0,495,495,71,713,432,348,6,4,2,2024,594,564,51.3,"https://fbref.com/en/squads/1d8099f8/2020-2021/Bologna-Stats"
"29",2021,"Bordeaux","Ligue 1","team",28,38,78,4,2,465,480,49,609,503,329,3,8,1,1964,570,501,53.2,"https://fbref.com/en/squads/123f3efe/2020-2021/Bordeaux-Stats"
"30",2021,"Bordeaux","Ligue 1","opponent",28,38,66,3,0,501,444,61,706,409,418,6,4,1,2019,501,570,46.8,"https://fbref.com/en/squads/123f3efe/2020-2021/Bordeaux-Stats"
"31",2021,"Brest","Ligue 1","team",26,38,62,4,1,491,434,59,720,463,355,4,11,2,1928,693,560,55.3,"https://fbref.com/en/squads/fb08dbb3/2020-2021/Brest-Stats"
"32",2021,"Brest","Ligue 1","opponent",26,38,78,5,2,477,462,44,752,413,322,9,4,2,1982,560,693,44.7,"https://fbref.com/en/squads/fb08dbb3/2020-2021/Brest-Stats"
"33",2021,"Brighton","Premier League","team",27,38,49,6,2,428,357,52,686,425,334,7,7,2,2040,531,574,48.1,"https://fbref.com/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats"
"34",2021,"Brighton","Premier League","opponent",27,38,51,2,0,376,406,54,625,456,316,6,9,1,1886,574,531,51.9,"https://fbref.com/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats"
"35",2021,"Burnley","Premier League","team",25,38,48,0,0,384,389,80,772,416,293,3,3,1,2000,874,854,50.6,"https://fbref.com/en/squads/943e8050/2020-2021/Burnley-Stats"
"36",2021,"Burnley","Premier League","opponent",25,38,32,2,0,403,364,79,801,308,261,3,3,1,2051,854,874,49.4,"https://fbref.com/en/squads/943e8050/2020-2021/Burnley-Stats"
"37",2021,"Cagliari","Serie A","team",32,38,77,3,2,516,469,57,721,388,336,4,5,0,1854,637,602,51.4,"https://fbref.com/en/squads/c4260e09/2020-2021/Cagliari-Stats"
"38",2021,"Cagliari","Serie A","opponent",32,38,76,5,3,507,496,83,778,414,312,4,5,0,1920,602,637,48.6,"https://fbref.com/en/squads/c4260e09/2020-2021/Cagliari-Stats"
"39",2021,"Celta Vigo","La Liga","team",30,38,109,5,3,631,492,65,521,405,368,7,8,1,1988,609,669,47.7,"https://fbref.com/en/squads/f25da7fb/2020-2021/Celta-Vigo-Stats"
"40",2021,"Celta Vigo","La Liga","opponent",30,38,102,6,4,529,607,51,741,489,288,6,7,0,1988,669,609,52.3,"https://fbref.com/en/squads/f25da7fb/2020-2021/Celta-Vigo-Stats"
"41",2021,"Chelsea","Premier League","team",27,38,51,3,1,433,364,79,749,382,341,10,4,1,1999,569,515,52.5,"https://fbref.com/en/squads/cff3d9bb/2020-2021/Chelsea-Stats"
"42",2021,"Chelsea","Premier League","opponent",27,38,56,3,1,377,415,54,533,430,313,4,10,2,1845,515,569,47.5,"https://fbref.com/en/squads/cff3d9bb/2020-2021/Chelsea-Stats"
"43",2021,"Crotone","Serie A","team",31,38,89,4,2,531,490,57,544,380,311,7,5,2,1936,472,534,46.9,"https://fbref.com/en/squads/3074d7b1/2020-2021/Crotone-Stats"
"44",2021,"Crotone","Serie A","opponent",31,38,90,5,2,524,499,103,754,423,361,4,9,1,2130,534,472,53.1,"https://fbref.com/en/squads/3074d7b1/2020-2021/Crotone-Stats"
"45",2021,"Crystal Palace","Premier League","team",24,38,56,2,1,409,436,67,533,396,366,2,4,0,1923,685,658,51,"https://fbref.com/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats"
"46",2021,"Crystal Palace","Premier League","opponent",24,38,44,4,1,455,387,46,795,378,400,3,4,2,1995,658,685,49,"https://fbref.com/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats"
"47",2021,"Cádiz","La Liga","team",34,38,81,3,2,436,483,56,731,437,317,3,10,1,1809,687,753,47.7,"https://fbref.com/en/squads/ee7c297c/2020-2021/Cadiz-Stats"
"48",2021,"Cádiz","La Liga","opponent",34,38,87,4,4,509,399,101,805,302,300,5,4,3,1929,753,687,52.3,"https://fbref.com/en/squads/ee7c297c/2020-2021/Cadiz-Stats"
"49",2021,"Dijon","Ligue 1","team",33,38,76,5,1,515,421,54,569,471,367,4,10,2,2041,530,627,45.8,"https://fbref.com/en/squads/8dfb7350/2020-2021/Dijon-Stats"
"50",2021,"Dijon","Ligue 1","opponent",33,38,54,1,0,446,490,72,774,510,414,9,5,0,2164,627,530,54.2,"https://fbref.com/en/squads/8dfb7350/2020-2021/Dijon-Stats"
"51",2021,"Dortmund","Bundesliga","team",26,34,44,1,1,359,373,69,532,413,318,6,6,1,2023,432,350,55.2,"https://fbref.com/en/squads/add600ae/2020-2021/Dortmund-Stats"
"52",2021,"Dortmund","Bundesliga","opponent",26,34,62,1,0,384,341,41,456,483,304,4,7,1,1895,350,432,44.8,"https://fbref.com/en/squads/add600ae/2020-2021/Dortmund-Stats"
"53",2021,"Eibar","La Liga","team",30,38,71,3,2,494,387,67,1052,434,309,4,5,0,2179,908,917,49.8,"https://fbref.com/en/squads/bea5c710/2020-2021/Eibar-Stats"
"54",2021,"Eibar","La Liga","opponent",30,38,66,2,1,417,461,128,545,406,319,5,9,0,1962,917,908,50.2,"https://fbref.com/en/squads/bea5c710/2020-2021/Eibar-Stats"
"55",2021,"Eint Frankfurt","Bundesliga","team",25,34,82,1,1,459,366,69,776,428,352,6,6,2,2094,604,552,52.2,"https://fbref.com/en/squads/f0ac8ee6/2020-2021/Eintracht-Frankfurt-Stats"
"56",2021,"Eint Frankfurt","Bundesliga","opponent",25,34,64,0,0,386,441,79,599,470,309,4,8,6,2094,552,604,47.8,"https://fbref.com/en/squads/f0ac8ee6/2020-2021/Eintracht-Frankfurt-Stats"
"57",2021,"Elche","La Liga","team",30,38,99,3,2,527,456,51,672,386,335,1,10,1,1811,488,539,47.5,"https://fbref.com/en/squads/6c8b07df/2020-2021/Elche-Stats"
"58",2021,"Elche","La Liga","opponent",30,38,79,2,1,496,506,64,693,406,347,6,3,1,1977,539,488,52.5,"https://fbref.com/en/squads/6c8b07df/2020-2021/Elche-Stats"
"59",2021,"Everton","Premier League","team",29,38,59,2,0,386,392,65,662,392,381,4,4,1,2030,665,486,57.8,"https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats"
"60",2021,"Everton","Premier League","opponent",29,38,66,1,0,409,372,42,746,357,314,4,5,2,1997,486,665,42.2,"https://fbref.com/en/squads/d3fd31cc/2020-2021/Everton-Stats"
"61",2021,"Fiorentina","Serie A","team",30,38,86,5,0,523,523,61,740,388,263,4,11,2,1817,538,544,49.7,"https://fbref.com/en/squads/421387cf/2020-2021/Fiorentina-Stats"
"62",2021,"Fiorentina","Serie A","opponent",30,38,81,2,1,545,500,94,692,380,369,9,6,3,1915,544,538,50.3,"https://fbref.com/en/squads/421387cf/2020-2021/Fiorentina-Stats"
"63",2021,"Freiburg","Bundesliga","team",24,34,62,0,0,437,401,56,636,452,247,5,6,2,1718,588,637,48,"https://fbref.com/en/squads/a486e511/2020-2021/Freiburg-Stats"
"64",2021,"Freiburg","Bundesliga","opponent",24,34,54,0,0,419,417,41,604,354,261,5,6,1,1788,637,588,52,"https://fbref.com/en/squads/a486e511/2020-2021/Freiburg-Stats"
"65",2021,"Fulham","Premier League","team",28,38,67,3,0,484,372,43,710,437,329,5,7,1,2010,649,625,50.9,"https://fbref.com/en/squads/fd962109/2020-2021/Fulham-Stats"
"66",2021,"Fulham","Premier League","opponent",28,38,40,1,0,387,462,103,693,404,373,6,6,1,1986,625,649,49.1,"https://fbref.com/en/squads/fd962109/2020-2021/Fulham-Stats"
"67",2021,"Genoa","Serie A","team",34,38,87,2,1,520,466,79,579,519,309,2,7,2,2013,504,643,43.9,"https://fbref.com/en/squads/658bf2de/2020-2021/Genoa-Stats"
"68",2021,"Genoa","Serie A","opponent",34,38,69,1,0,502,501,37,779,444,326,7,4,1,2197,643,504,56.1,"https://fbref.com/en/squads/658bf2de/2020-2021/Genoa-Stats"
"69",2021,"Getafe","La Liga","team",31,38,120,7,2,631,520,74,815,393,352,3,8,3,1943,840,946,47,"https://fbref.com/en/squads/7848bd64/2020-2021/Getafe-Stats"
"70",2021,"Getafe","La Liga","opponent",31,38,106,6,5,549,589,87,566,390,313,6,5,1,1948,946,840,53,"https://fbref.com/en/squads/7848bd64/2020-2021/Getafe-Stats"
"71",2021,"Gladbach","Bundesliga","team",23,34,61,2,0,395,412,82,561,436,307,9,6,0,1914,512,488,51.2,"https://fbref.com/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats"
"72",2021,"Gladbach","Bundesliga","opponent",23,34,75,3,2,431,383,68,607,419,302,3,11,1,1954,488,512,48.8,"https://fbref.com/en/squads/32f3ee20/2020-2021/Monchengladbach-Stats"
"73",2021,"Granada","La Liga","team",34,38,97,6,1,533,469,82,613,392,279,4,12,1,1800,675,851,44.2,"https://fbref.com/en/squads/a0435291/2020-2021/Granada-Stats"
"74",2021,"Granada","La Liga","opponent",34,38,104,6,3,493,501,53,764,359,313,10,5,0,1862,851,675,55.8,"https://fbref.com/en/squads/a0435291/2020-2021/Granada-Stats"
"75",2021,"Hellas Verona","Serie A","team",32,38,91,1,0,622,520,108,732,492,269,3,7,2,2214,749,832,47.4,"https://fbref.com/en/squads/0e72edf2/2020-2021/Hellas-Verona-Stats"
"76",2021,"Hellas Verona","Serie A","opponent",32,38,81,2,1,557,593,42,657,476,297,6,3,5,2102,832,749,52.6,"https://fbref.com/en/squads/0e72edf2/2020-2021/Hellas-Verona-Stats"
"77",2021,"Hertha BSC","Bundesliga","team",32,34,67,3,2,469,428,77,585,417,270,6,8,1,1743,527,513,50.7,"https://fbref.com/en/squads/2818f8bc/2020-2021/Hertha-BSC-Stats"
"78",2021,"Hertha BSC","Bundesliga","opponent",32,34,68,3,1,442,442,43,640,399,315,8,6,1,1757,513,527,49.3,"https://fbref.com/en/squads/2818f8bc/2020-2021/Hertha-BSC-Stats"
"79",2021,"Hoffenheim","Bundesliga","team",30,34,68,4,2,442,407,49,658,431,296,4,9,2,1896,516,620,45.4,"https://fbref.com/en/squads/033ea6b8/2020-2021/Hoffenheim-Stats"
"80",2021,"Hoffenheim","Bundesliga","opponent",30,34,47,2,0,432,421,110,579,428,343,7,6,1,1924,620,516,54.6,"https://fbref.com/en/squads/033ea6b8/2020-2021/Hoffenheim-Stats"
"81",2021,"Huesca","La Liga","team",27,38,69,2,1,528,518,101,824,437,322,2,5,2,1876,580,598,49.2,"https://fbref.com/en/squads/c6c493e6/2020-2021/Huesca-Stats"
"82",2021,"Huesca","La Liga","opponent",27,38,64,2,1,554,496,74,691,323,309,3,4,2,1870,598,580,50.8,"https://fbref.com/en/squads/c6c493e6/2020-2021/Huesca-Stats"
"83",2021,"Inter","Serie A","team",25,38,61,2,1,472,426,65,702,371,286,6,7,1,1814,439,428,50.6,"https://fbref.com/en/squads/d609edc0/2020-2021/Internazionale-Stats"
"84",2021,"Inter","Serie A","opponent",25,38,84,3,1,444,439,32,613,414,264,5,9,5,1690,428,439,49.4,"https://fbref.com/en/squads/d609edc0/2020-2021/Internazionale-Stats"
"85",2021,"Juventus","Serie A","team",30,38,80,6,2,505,470,93,754,458,323,8,9,2,1941,426,378,53,"https://fbref.com/en/squads/e0652b02/2020-2021/Juventus-Stats"
"86",2021,"Juventus","Serie A","opponent",30,38,85,2,1,490,483,40,644,402,303,6,10,1,1805,378,426,47,"https://fbref.com/en/squads/e0652b02/2020-2021/Juventus-Stats"
"87",2021,"Köln","Bundesliga","team",28,34,63,1,1,422,429,57,655,429,328,4,9,0,1948,607,614,49.7,"https://fbref.com/en/squads/bc357bf7/2020-2021/Koln-Stats"
"88",2021,"Köln","Bundesliga","opponent",28,34,67,0,0,459,395,53,616,363,284,5,6,1,1945,614,607,50.3,"https://fbref.com/en/squads/bc357bf7/2020-2021/Koln-Stats"
"89",2021,"Lazio","Serie A","team",30,38,107,5,3,498,427,87,744,445,346,8,10,2,2132,539,510,51.4,"https://fbref.com/en/squads/7213da33/2020-2021/Lazio-Stats"
