"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Url"
"1",2021,"Alavés","La Liga","team",30,38,10217,14390,71,196749,86617,4465,5486,81.4,4015,5139,78.1,1482,2923,50.7,21,27.4,21,-6.4,256,789,189,82,939,"https://fbref.com/en/squads/8d6fd021/2020-2021/Alaves-Stats"
"2",2021,"Alavés","La Liga","opponent",30,38,15323,19621,78.1,272108,93122,6945,7955,87.3,6055,7146,84.7,1778,3256,54.6,44,37.1,34.2,6.9,292,1086,299,78,1479,"https://fbref.com/en/squads/8d6fd021/2020-2021/Alaves-Stats"
"3",2021,"Angers","Ligue 1","team",31,38,14883,18822,79.1,260279,99308,6976,7852,88.8,5985,7038,85,1531,2897,52.8,23,26.4,25,-3.4,294,1059,221,62,1435,"https://fbref.com/en/squads/69236f98/2020-2021/Angers-Stats"
"4",2021,"Angers","Ligue 1","opponent",31,38,17811,21744,81.9,305474,108256,8206,9182,89.4,7376,8447,87.3,1660,2897,57.3,41,36.8,32.1,4.2,293,1296,240,59,1639,"https://fbref.com/en/squads/69236f98/2020-2021/Angers-Stats"
"5",2021,"Arminia","Bundesliga","team",26,34,10582,14604,72.5,214163,88686,3914,4823,81.2,4806,5879,81.7,1610,3097,52,16,23.9,25.4,-7.9,229,795,172,50,880,"https://fbref.com/en/squads/247c4b67/2020-2021/Arminia-Stats"
"6",2021,"Arminia","Bundesliga","opponent",26,34,16172,20180,80.1,294765,104003,6718,7659,87.7,7309,8447,86.5,1734,2976,58.3,36,40.6,41.4,-4.6,347,1269,321,71,1706,"https://fbref.com/en/squads/247c4b67/2020-2021/Arminia-Stats"
"7",2021,"Arsenal","Premier League","team",29,38,18041,21807,82.7,306094,93540,8319,9236,90.1,7770,8814,88.2,1453,2621,55.4,38,35.1,35.3,2.9,332,1377,325,67,1760,"https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats"
"8",2021,"Arsenal","Premier League","opponent",29,38,15355,19093,80.4,264758,88749,7194,8000,89.9,6173,7125,86.6,1478,2802,52.7,25,31.8,26.6,-6.8,304,1095,262,64,1175,"https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats"
"9",2021,"Aston Villa","Premier League","team",24,38,12940,16998,76.1,235952,93019,5731,6656,86.1,5222,6209,84.1,1571,3074,51.1,38,37.4,31.4,0.6,403,1086,323,76,1420,"https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats"
"10",2021,"Aston Villa","Premier League","opponent",24,38,14251,18381,77.5,241489,88874,6833,7727,88.4,5491,6601,83.2,1347,2806,48,30,31.1,30.1,-1.1,375,1068,362,84,1549,"https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats"
"11",2021,"Atalanta","Serie A","team",30,38,18066,22063,81.9,310229,109918,8542,9641,88.6,7388,8505,86.9,1686,2744,61.4,65,55.5,49.1,9.5,487,1635,490,85,2077,"https://fbref.com/en/squads/922493f3/2020-2021/Atalanta-Stats"
"12",2021,"Atalanta","Serie A","opponent",30,38,14274,18377,77.7,251869,98214,6531,7491,87.2,5707,6754,84.5,1605,3053,52.6,36,26,18.4,10,228,885,201,43,1038,"https://fbref.com/en/squads/922493f3/2020-2021/Atalanta-Stats"
"13",2021,"Athletic Club","La Liga","team",27,38,13577,17841,76.1,251118,91439,5872,6901,85.1,5484,6607,83,1791,3120,57.4,31,31,27.9,0,303,1054,284,79,1496,"https://fbref.com/en/squads/2b390eca/2020-2021/Athletic-Club-Stats"
