"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Url"
"1",2021,"Alavés","La Liga","team",30,38,14390,12380,1937,595,11,144,645,800,142,42,68,4,10217,73,265,"https://fbref.com/en/squads/8d6fd021/2020-2021/Alaves-Stats"
"2",2021,"Alavés","La Liga","opponent",30,38,19621,17574,1940,561,22,201,731,865,201,72,62,0,15323,107,305,"https://fbref.com/en/squads/8d6fd021/2020-2021/Alaves-Stats"
"3",2021,"Angers","Ligue 1","team",31,38,18822,16876,1907,551,30,135,662,824,168,68,78,1,14883,39,355,"https://fbref.com/en/squads/69236f98/2020-2021/Angers-Stats"
"4",2021,"Angers","Ligue 1","opponent",31,38,21744,19953,1722,472,21,136,652,759,175,85,65,0,17811,69,310,"https://fbref.com/en/squads/69236f98/2020-2021/Angers-Stats"
"5",2021,"Arminia","Bundesliga","team",26,34,14604,12895,1660,493,13,114,471,714,118,54,43,1,10582,49,274,"https://fbref.com/en/squads/247c4b67/2020-2021/Arminia-Stats"
"6",2021,"Arminia","Bundesliga","opponent",26,34,20180,18429,1675,418,19,157,713,786,186,86,68,1,16172,76,331,"https://fbref.com/en/squads/247c4b67/2020-2021/Arminia-Stats"
"7",2021,"Arsenal","Premier League","team",29,38,21807,20122,1624,440,34,133,751,663,207,86,64,12,18041,61,311,"https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats"
"8",2021,"Arsenal","Premier League","opponent",29,38,19093,17471,1569,387,14,111,652,657,166,70,55,9,15355,53,290,"https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats"
"9",2021,"Aston Villa","Premier League","team",24,38,16998,15004,1923,590,12,127,779,780,213,106,39,15,12940,71,275,"https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats"
"10",2021,"Aston Villa","Premier League","opponent",24,38,18381,16552,1782,473,16,151,784,735,194,86,62,5,14251,47,321,"https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats"
"11",2021,"Atalanta","Serie A","team",30,38,22063,20351,1656,508,28,181,657,689,201,104,82,0,18066,56,395,"https://fbref.com/en/squads/922493f3/2020-2021/Atalanta-Stats"
"12",2021,"Atalanta","Serie A","opponent",30,38,18377,16502,1835,609,18,89,460,640,120,48,53,0,14274,40,351,"https://fbref.com/en/squads/922493f3/2020-2021/Atalanta-Stats"
"13",2021,"Athletic Club","La Liga","team",27,38,17841,15737,2027,561,13,200,811,920,197,65,73,3,13577,77,376,"https://fbref.com/en/squads/2b390eca/2020-2021/Athletic-Club-Stats"
"14",2021,"Athletic Club","La Liga","opponent",27,38,18323,16394,1846,532,21,242,753,768,157,46,70,1,14283,83,335,"https://fbref.com/en/squads/2b390eca/2020-2021/Athletic-Club-Stats"
