"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Poss","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Url"
"1",2021,"Alavés","La Liga","team",30,42.8,38,18196,2104,6503,8087,3788,575,18188,468,255,54.5,214,45.7,8984,44443,20934,404,315,104,557,256,10113,926,"https://fbref.com/en/squads/8d6fd021/2020-2021/Alaves-Stats"
"2",2021,"Alavés","La Liga","opponent",30,57.3,38,23128,2076,6655,10894,5762,716,23124,565,368,65.1,197,34.9,12586,68276,35717,632,488,139,564,302,15191,1461,"https://fbref.com/en/squads/8d6fd021/2020-2021/Alaves-Stats"
"3",2021,"Angers","Ligue 1","team",31,46.4,38,22924,1893,6979,11326,4872,574,22918,744,386,51.9,358,48.1,13323,66694,31192,614,485,118,635,394,14792,1418,"https://fbref.com/en/squads/69236f98/2020-2021/Angers-Stats"
"4",2021,"Angers","Ligue 1","opponent",31,53.8,38,25939,2035,7724,13295,5177,646,25931,754,440,58.4,314,41.6,15510,81252,42651,731,532,136,611,312,17693,1625,"https://fbref.com/en/squads/69236f98/2020-2021/Angers-Stats"
"5",2021,"Arminia","Bundesliga","team",26,42.3,34,18394,2538,7581,7559,3417,529,18392,435,233,53.6,202,46.4,9625,46369,23235,358,224,71,557,262,10498,874,"https://fbref.com/en/squads/247c4b67/2020-2021/Arminia-Stats"
"6",2021,"Arminia","Bundesliga","opponent",26,57.8,34,23892,1954,7208,11721,5159,800,23886,537,322,60,214,39.9,13663,73263,36545,597,447,162,599,338,16052,1691,"https://fbref.com/en/squads/247c4b67/2020-2021/Arminia-Stats"
"7",2021,"Arsenal","Premier League","team",29,53.5,38,25431,2426,7970,11384,6240,910,25425,535,296,55.3,239,44.7,15532,83176,45081,758,499,195,511,260,17924,1748,"https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats"
"8",2021,"Arsenal","Premier League","opponent",29,46.2,38,22816,2643,7657,10092,5265,721,22813,547,335,61.2,212,38.8,13129,66624,33414,604,462,162,507,244,15224,1165,"https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats"
"9",2021,"Aston Villa","Premier League","team",24,48.5,38,21115,2579,6975,8614,5759,947,21109,595,369,62,223,37.5,11290,60377,30666,629,463,226,579,337,12834,1403,"https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats"
"10",2021,"Aston Villa","Premier League","opponent",24,51.9,38,22498,2506,7471,9303,5952,955,22492,582,321,55.2,261,44.8,12009,66245,35967,726,508,200,551,269,14149,1534,"https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats"
"11",2021,"Atalanta","Serie A","team",30,54.6,38,26392,1779,6640,12068,7924,1147,26385,707,396,56,309,43.7,15724,78882,39413,874,658,256,680,406,17945,2056,"https://fbref.com/en/squads/922493f3/2020-2021/Atalanta-Stats"
"12",2021,"Atalanta","Serie A","opponent",30,45.1,38,22821,3113,9294,9985,3778,515,22813,591,326,55.2,265,44.8,12053,63120,30356,549,387,109,646,341,14104,1030,"https://fbref.com/en/squads/922493f3/2020-2021/Atalanta-Stats"
"13",2021,"Athletic Club","La Liga","team",27,49.9,38,21405,1919,5860,10254,5480,675,21400,501,304,60.7,197,39.3,11148,64935,35153,685,508,147,496,335,13474,1477,"https://fbref.com/en/squads/2b390eca/2020-2021/Athletic-Club-Stats"
"14",2021,"Athletic Club","La Liga","opponent",27,50.2,38,22249,2418,7574,9636,5255,664,22243,515,348,67.6,167,32.4,12503,63220,31400,589,465,121,557,294,14174,1366,"https://fbref.com/en/squads/2b390eca/2020-2021/Athletic-Club-Stats"
"15",2021,"Atlético Madrid","La Liga","team",25,52.3,38,24561,1967,6777,12025,5937,894,24555,588,374,63.6,214,36.4,13675,67513,36112,694,483,190,503,342,16649,1598,"https://fbref.com/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats"
"16",2021,"Atlético Madrid","La Liga","opponent",25,47.6,38,22889,2326,6949,10656,5476,577,22885,631,335,53.1,296,46.9,12371,66054,32881,557,531,89,516,326,15032,1371,"https://fbref.com/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats"
"17",2021,"Augsburg","Bundesliga","team",25,41.4,34,18181,2500,7266,7815,3296,496,18176,474,282,59.5,192,40.5,9465,52254,25936,431,344,79,557,321,10183,977,"https://fbref.com/en/squads/0cdc4311/2020-2021/Augsburg-Stats"
"18",2021,"Augsburg","Bundesliga","opponent",25,58.7,34,23777,1925,6742,11504,5730,911,23768,503,302,60,201,40,13799,70400,37566,698,481,167,564,308,15930,1662,"https://fbref.com/en/squads/0cdc4311/2020-2021/Augsburg-Stats"
