"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","Poss","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Url"
"1",2021,"Alavés","La Liga","team",30,28.7,42.8,38,418,3420,38,35,21,56,30,5,8,96,8,42.6,36.4,27.4,63.7,404,939,0.92,0.55,1.47,0.79,1.34,1.12,0.72,1.84,0.96,1.68,"https://fbref.com/en/squads/8d6fd021/2020-2021/Alaves-Stats"
"2",2021,"Alavés","La Liga","opponent",30,27.5,57.3,38,418,3420,38,57,44,101,54,3,3,80,3,49.9,47.5,37.1,84.7,632,1479,1.5,1.16,2.66,1.42,2.58,1.31,0.98,2.29,1.25,2.23,"https://fbref.com/en/squads/8d6fd021/2020-2021/Alaves-Stats"
"3",2021,"Angers","Ligue 1","team",31,27.9,46.4,38,418,3420,38,40,23,63,35,5,6,65,2,41.6,36.9,26.4,63.3,614,1435,1.05,0.61,1.66,0.92,1.53,1.1,0.7,1.79,0.97,1.67,"https://fbref.com/en/squads/69236f98/2020-2021/Angers-Stats"
"4",2021,"Angers","Ligue 1","opponent",31,26,53.8,38,418,3420,38,57,41,98,50,7,8,73,3,52.3,46.6,36.8,83.4,731,1639,1.5,1.08,2.58,1.32,2.39,1.38,0.97,2.34,1.23,2.19,"https://fbref.com/en/squads/69236f98/2020-2021/Angers-Stats"
"5",2021,"Arminia","Bundesliga","team",26,26,42.3,34,374,3060,34,23,16,39,22,1,2,52,1,32.9,31.3,23.9,55.2,358,880,0.68,0.47,1.15,0.65,1.12,0.97,0.7,1.67,0.92,1.62,"https://fbref.com/en/squads/247c4b67/2020-2021/Arminia-Stats"
"6",2021,"Arminia","Bundesliga","opponent",26,25.9,57.8,34,374,3060,34,51,36,87,46,5,6,63,2,56.8,52.1,40.6,92.7,597,1706,1.5,1.06,2.56,1.35,2.41,1.67,1.19,2.86,1.53,2.73,"https://fbref.com/en/squads/247c4b67/2020-2021/Arminia-Stats"
"7",2021,"Arsenal","Premier League","team",29,25.9,53.5,38,418,3420,38,53,38,91,47,6,6,49,5,51.7,47,35.1,82.1,758,1760,1.39,1,2.39,1.24,2.24,1.36,0.92,2.29,1.24,2.16,"https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats"
"8",2021,"Arsenal","Premier League","opponent",29,26.7,46.2,38,418,3420,38,35,25,60,33,2,3,74,2,43,40.6,31.8,72.4,604,1175,0.92,0.66,1.58,0.87,1.53,1.13,0.84,1.97,1.07,1.91,"https://fbref.com/en/squads/18bb7c10/2020-2021/Arsenal-Stats"
"9",2021,"Aston Villa","Premier League","team",24,25.2,48.5,38,418,3420,38,52,38,90,47,5,6,71,4,52.5,47.9,37.4,85.3,629,1420,1.37,1,2.37,1.24,2.24,1.38,0.98,2.37,1.26,2.25,"https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats"
"10",2021,"Aston Villa","Premier League","opponent",24,26.7,51.9,38,418,3420,38,45,30,75,40,5,6,73,7,51.1,46.4,31.1,77.5,726,1549,1.18,0.79,1.97,1.05,1.84,1.34,0.82,2.16,1.22,2.04,"https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats"
"11",2021,"Atalanta","Serie A","team",30,27.3,54.6,38,418,3420,38,90,65,155,84,6,7,67,3,74.7,69.3,55.5,124.7,874,2077,2.37,1.71,4.08,2.21,3.92,1.97,1.46,3.43,1.82,3.28,"https://fbref.com/en/squads/922493f3/2020-2021/Atalanta-Stats"
"12",2021,"Atalanta","Serie A","opponent",30,27,45.1,38,418,3420,38,46,36,82,41,5,8,87,4,41,34.7,26,60.7,549,1038,1.21,0.95,2.16,1.08,2.03,1.08,0.68,1.76,0.91,1.6,"https://fbref.com/en/squads/922493f3/2020-2021/Atalanta-Stats"
